"ID" "ageOfParent" "sexOfParent" "survivalProb" "expectedAgeAtDeath" "mutationProbGametes" "mutationProbSC" "meanMutBias" "sdMutEffectSize" "mutationProbAgeGenes"
"7_0.0004_0.0004_-0.022_0.024_0" 20 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"7_0.0004_0.0004_-0.022_0.024_0" 20 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"39_0.0004_0.0004_-0.022_0.024_0" 39 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"39_0.0004_0.0004_-0.022_0.024_0" 39 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"44_0.0004_0.0004_-0.022_0.024_0" 33 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"44_0.0004_0.0004_-0.022_0.024_0" 33 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"56_0.0004_0.0004_-0.022_0.024_0" 11 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"56_0.0004_0.0004_-0.022_0.024_0" 11 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"82_0.0004_0.0004_-0.022_0.024_0" 1 "M" 0.860708 4.48464 4e-04 4e-04 -0.022 0.024 0
"82_0.0004_0.0004_-0.022_0.024_0" 1 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"82_0.0004_0.0004_-0.022_0.024_0" 1 "M" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"82_0.0004_0.0004_-0.022_0.024_0" 1 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"82_0.0004_0.0004_-0.022_0.024_0" 1 "M" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"82_0.0004_0.0004_-0.022_0.024_0" 2 "M" 0.860708 4.48464 4e-04 4e-04 -0.022 0.024 0
"83_0.0004_0.0004_-0.022_0.024_0" 19 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"85_0.0004_0.0004_-0.022_0.024_0" 2 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"85_0.0004_0.0004_-0.022_0.024_0" 3 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"85_0.0004_0.0004_-0.022_0.024_0" 3 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"90_0.0004_0.0004_-0.022_0.024_0" 0 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"90_0.0004_0.0004_-0.022_0.024_0" 0 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"90_0.0004_0.0004_-0.022_0.024_0" 0 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"90_0.0004_0.0004_-0.022_0.024_0" 1 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"90_0.0004_0.0004_-0.022_0.024_0" 1 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"90_0.0004_0.0004_-0.022_0.024_0" 1 "M" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"90_0.0004_0.0004_-0.022_0.024_0" 1 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"117_0.0004_0.0004_-0.022_0.024_0" 5 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"117_0.0004_0.0004_-0.022_0.024_0" 5 "F" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"117_0.0004_0.0004_-0.022_0.024_0" 6 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"117_0.0004_0.0004_-0.022_0.024_0" 6 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"136_0.0004_0.0004_-0.022_0.024_0" 16 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"136_0.0004_0.0004_-0.022_0.024_0" 16 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
