"ID" "ageOfParent" "survivalProb" "expectedAgeAtDeath"
0 2 0.67032 1.75333
0 2 0.637628 1.53644
0 2 0.778801 2.84409
1 2 0.778801 2.84409
2 0 0.740818 2.37584
2 0 0.740818 2.37584
2 0 0.860708 4.48464
2 0 0.740818 2.37584
3 1 0.860708 4.48464
3 1 0.778801 2.84409
4 3 0.818731 3.50033
6 5 0.67032 1.75333
6 5 0.740818 2.37584
6 5 0.57695 1.21289
7 4 0.704688 2.02529
9 9 0.778801 2.84409
10 6 0.778801 2.84409
10 6 0.704688 2.02529
10 6 0.778801 2.84409
10 6 0.951229 9.38076
10 6 0.904837 6.12228
12 12 0.778801 2.84409
13 7 0.740818 2.37584
13 7 0.818731 3.50033
13 7 0.740818 2.37584
13 7 0.704688 2.02529
14 1 0.778801 2.84409
14 1 0.740818 2.37584
17 1 0.740818 2.37584
17 1 0.818731 3.50033
17 1 0.704688 2.02529
18 2 0.637628 1.53644
18 2 0.740818 2.37584
18 2 0.740818 2.37584
18 2 0.67032 1.75333
19 2 0.778801 2.84409
19 2 0.740818 2.37584
19 2 0.778801 2.84409
19 2 0.778801 2.84409
20 1 0.67032 1.75333
20 1 0.778801 2.84409
20 1 0.740818 2.37584
21 2 0.904837 6.12228
23 8 0.778801 2.84409
24 4 0.740818 2.37584
24 4 0.818731 3.50033
25 1 0.637628 1.53644
25 1 0.740818 2.37584
25 1 0.67032 1.75333
25 1 0.740818 2.37584
26 5 0.704688 2.02529
26 5 0.778801 2.84409
26 5 0.740818 2.37584
27 3 0.778801 2.84409
28 0 0.606531 1.35963
28 0 0.818731 3.50033
28 0 0.818731 3.50033
29 0 0.904837 6.12228
29 0 0.67032 1.75333
30 1 0.67032 1.75333
30 1 0.67032 1.75333
30 1 0.67032 1.75333
31 3 0.637628 1.53644
31 3 0.904837 6.12228
31 3 1 19
31 3 0.704688 2.02529
31 3 0.704688 2.02529
32 1 0.740818 2.37584
32 1 0.704688 2.02529
32 1 0.67032 1.75333
33 3 0.860708 4.48464
33 3 0.740818 2.37584
33 3 0.67032 1.75333
33 3 0.740818 2.37584
34 2 0.778801 2.84409
34 2 0.67032 1.75333
34 2 0.740818 2.37584
34 2 0.740818 2.37584
35 1 0.778801 2.84409
36 0 0.778801 2.84409
37 0 0.606531 1.35963
37 0 0.860708 4.48464
38 0 0.704688 2.02529
38 0 0.904837 6.12228
38 0 0.704688 2.02529
39 0 0.704688 2.02529
40 0 0.778801 2.84409
41 4 0.704688 2.02529
41 4 0.704688 2.02529
42 7 0.818731 3.50033
44 3 0.818731 3.50033
44 3 0.860708 4.48464
44 3 0.778801 2.84409
44 3 0.637628 1.53644
45 1 0.904837 6.12228
45 1 0.904837 6.12228
46 0 0.606531 1.35963
46 0 0.637628 1.53644
46 0 0.67032 1.75333
47 14 0.740818 2.37584
49 0 0.606531 1.35963
49 0 0.818731 3.50033
49 0 0.704688 2.02529
50 6 0.704688 2.02529
50 6 0.740818 2.37584
51 2 0.904837 6.12228
51 2 0.637628 1.53644
52 0 0.704688 2.02529
52 0 0.67032 1.75333
53 2 0.740818 2.37584
53 2 0.860708 4.48464
54 0 0.818731 3.50033
55 0 0.740818 2.37584
56 2 0.904837 6.12228
56 2 0.704688 2.02529
57 2 0.606531 1.35963
57 2 0.740818 2.37584
58 2 0.522046 0.983905
59 0 0.740818 2.37584
59 0 0.818731 3.50033
59 0 0.778801 2.84409
64 3 0.778801 2.84409
64 3 0.740818 2.37584
64 3 0.67032 1.75333
66 2 0.778801 2.84409
66 2 0.778801 2.84409
66 2 0.778801 2.84409
67 4 0.704688 2.02529
68 0 0.637628 1.53644
68 0 0.740818 2.37584
69 2 0.778801 2.84409
69 2 0.860708 4.48464
70 3 0.778801 2.84409
70 3 0.860708 4.48464
70 3 0.704688 2.02529
71 5 0.637628 1.53644
71 5 0.67032 1.75333
72 7 0.740818 2.37584
