"expectedAgeAtDeath","ageOfFather"
13.3671,0
9.59592,1
50.1577,3
19.7614,1
25.5959,39
129,30
5.27825,12
7.36706,0
21.1577,10
23.5959,6
6.27825,34
17.1577,8
17.7614,21
20.5959,3
9.59592,20
27.1577,7
10.2783,24
20.1577,1
21.5959,29
6.27825,9
17.1577,3
121,19
6.76137,25
13.5959,3
102,33
14.5959,0
8.27825,1
25.5959,9
15.2783,18
6.27825,7
10.5959,14
6.36706,4
10.7614,6
22.1577,6
7.27825,1
7.76137,2
20.5959,13
5.30733,10
129,4
117,2
109,11
14.7614,16
19.1577,5
35.5959,1
24.5959,1
27.1577,9
10.5959,5
7.27825,2
21.1577,5
4.30733,9
36.1577,12
22.1577,9
37.1577,1
131,10
29.1577,5
37.1577,12
6.76137,3
4.36706,0
46.1577,3
20.1577,7
25.7614,13
17.5959,8
11.7614,15
23.2783,6
8.76137,15
6.76137,23
6.36706,9
10.5959,0
19.5959,10
17.5959,0
12.7614,2
20.5959,32
124,0
13.2783,7
33.7614,8
29.1577,0
15.7614,0
28.5959,6
135,13
7.76137,5
10.3671,4
44.1577,1
6.36706,15
114,21
17.1577,8
10.7614,5
115,11
8.27825,3
13.7614,10
19.7614,6
13.5959,9
11.2783,2
20.5959,5
9.59592,3
18.1577,3
6.76137,6
6.27825,4
6.27825,13
8.76137,10
34.1577,23
7.27825,7
131,3
14.5959,0
21.1577,32
11.5959,10
36.1577,34
6.36706,1
24.5959,1
45.1577,2
10.7614,15
14.5959,1
6.76137,7
50.1577,5
18.1577,2
14.5959,6
3.30733,1
27.5959,0
9.59592,1
23.1577,13
12.5959,3
11.5959,2
6.30733,2
22.5959,4
9.36706,7
7.76137,13
29.1577,2
5.27825,2
6.36706,4
9.36706,0
118,8
30.1577,10
19.1577,20
47.1577,3
110,8
115,10
136,12
108,1
17.7614,2
9.59592,1
10.2783,18
19.2783,8
6.76137,1
17.1577,0
38.1577,1
132,13
27.1577,31
25.1577,1
11.2783,2
104,6
17.1577,19
37.1577,6
26.5959,7
134,8
39.1577,0
10.5959,24
105,2
6.27825,0
42.1577,5
7.36706,3
18.5959,32
13.2783,22
44.1577,9
39.1577,6
5.27825,11
109,12
6.76137,7
9.59592,5
12.7614,17
24.5959,3
15.7614,6
20.1577,15
17.5959,19
17.1577,3
16.5959,3
18.1577,3
8.36706,1
113,3
12.3671,7
4.30733,33
4.36706,4
9.59592,8
116,1
29.1577,4
14.5959,10
31.1577,19
13.5959,20
46.1577,9
32.1577,9
20.1577,2
18.1577,1
17.5959,0
10.3671,5
120,2
19.1577,13
7.76137,2
37.1577,2
9.59592,34
5.75108,0
15.7614,10
37.1577,31
20.1577,9
27.1577,12
19.1577,11
8.27825,3
4.30733,9
19.7614,2
17.1577,9
8.27825,26
14.7614,5
5.27825,1
100,9
22.5959,15
7.76137,7
10.5959,2
38.1577,6
24.5959,8
9.59592,12
33.1577,17
17.7614,9
14.5959,4
10.7614,3
45.1577,13
5.30733,0
42.1577,7
7.36706,1
22.7614,2
8.27825,6
16.7614,5
6.27825,3
25.1577,1
5.36706,4
5.27825,1
32.1577,16
17.5959,2
23.5959,7
21.2783,9
12.5959,6
13.5959,1
23.5959,2
3.75108,15
15.2783,6
19.5959,2
10.7511,2
5.27825,0
20.5959,1
15.5959,27
53.1577,12
19.5959,2
10.7614,8
44.1577,3
8.76137,19
15.5959,1
7.27825,27
132,5
9.59592,5
14.5959,6
8.76137,11
17.7614,3
5.27825,2
17.5959,10
117,0
26.7614,2
9.27825,3
29.5959,3
14.5959,3
13.5959,8
10.2783,17
8.76137,25
21.1577,17
20.7614,31
8.76137,22
5.30733,8
17.1577,5
9.36706,8
24.5959,1
7.27825,0
13.7614,7
10.5959,3
9.59592,0
7.27825,12
12.5959,1
12.3671,24
117,11
17.1577,7
40.1577,15
40.1577,28
9.76137,2
13.7614,5
22.1577,8
17.7614,8
19.1577,1
136,0
4.36706,4
30.7614,1
18.5959,3
7.76137,15
26.7614,20
7.76137,17
110,8
22.5959,0
120,5
11.2783,28
21.1577,23
18.7614,1
12.7614,0
10.7614,2
125,4
37.1577,0
10.5959,0
27.1577,28
25.1577,1
10.5959,1
6.27825,2
10.7614,8
17.1577,28
5.27825,5
17.7614,6
106,16
25.7614,35
3.30733,13
18.1577,3
10.5959,6
15.2783,1
48.1577,3
9.59592,7
128,5
11.5959,12
11.3671,27
9.59592,31
46.1577,15
23.5959,2
13.5959,2
14.5959,7
49.1577,32
30.5959,27
114,11
17.5959,1
24.7614,6
19.2783,1
12.2783,3
9.59592,8
7.27825,3
13.7614,3
108,14
20.5959,17
15.5959,23
26.1577,4
112,1
103,3
19.5959,0
21.1577,8
7.27825,8
19.1577,4
20.5959,5
37.1577,10
13.7614,14
11.2783,16
27.1577,0
25.1577,20
27.5959,0
16.5959,8
13.7614,1
7.27825,4
21.5959,6
17.1577,8
15.5959,6
21.5959,0
10.2783,16
3.75108,3
6.76137,16
6.75108,2
6.27825,10
21.1577,2
9.59592,1
39.1577,10
44.5959,4
13.2783,7
7.36706,1
18.1577,2
20.1577,26
7.36706,5
39.5959,2
7.27825,8
9.36706,10
13.7614,0
6.27825,38
11.7614,0
9.27825,7
7.76137,10
20.5959,31
108,0
5.27825,0
25.1577,2
10.2783,9
27.5959,20
52.1577,11
7.76137,12
128,1
132,5
41.1577,7
11.5959,5
21.1577,7
27.1577,22
26.7614,0
8.76137,22
14.3671,1
23.1577,23
17.1577,11
130,7
29.1577,1
49.1577,15
101,1
11.5959,2
4.75108,0
3.30733,4
25.1577,32
32.1577,2
17.7614,6
124,1
4.75108,0
135,6
8.75108,2
21.1577,3
11.5959,12
30.5959,3
20.1577,19
42.1577,18
9.59592,0
10.5959,0
4.36706,8
10.3671,5
105,0
14.7614,13
17.7614,20
19.1577,8
15.7614,39
20.1577,16
10.7614,7
42.1577,5
6.76137,14
9.59592,3
25.1577,11
6.76137,0
119,1
28.1577,0
29.5959,13
5.75108,1
15.5959,26
25.1577,6
20.5959,9
9.59592,5
17.1577,12
131,14
42.1577,10
12.5959,16
108,14
9.59592,1
10.2783,7
45.1577,3
104,7
6.76137,7
12.5959,7
33.1577,2
102,15
14.5959,2
9.59592,7
21.1577,0
16.5959,16
20.1577,15
35.1577,4
20.7614,0
22.5959,2
8.76137,3
135,13
15.5959,3
102,16
15.5959,4
21.7614,4
7.36706,22
114,11
22.1577,2
21.2783,2
18.1577,1
7.76137,3
3.75108,6
8.36706,5
110,4
138,32
7.76137,0
113,0
9.76137,6
13.5959,4
132,6
7.27825,5
30.1577,3
17.1577,4
29.1577,7
39.1577,10
103,37
24.7614,18
16.5959,9
29.1577,0
5.36706,4
8.76137,5
22.7614,5
6.76137,33
23.1577,10
117,0
11.5959,29
5.27825,0
11.7614,2
12.5959,4
51.1577,23
17.1577,6
27.5959,0
13.3671,2
115,0
17.1577,0
22.5959,5
17.5959,9
27.1577,2
32.1577,18
9.76137,9
28.5959,0
7.27825,6
10.7614,2
13.7614,15
107,24
8.76137,7
25.5959,6
20.1577,28
22.7614,20
7.27825,19
32.1577,8
115,3
21.5959,1
28.1577,2
4.36706,1
22.1577,12
14.7614,6
10.5959,25
30.1577,5
112,2
6.76137,3
11.5959,15
24.5959,0
24.5959,0
7.27825,1
14.5959,16
133,2
5.27825,12
6.76137,15
25.1577,1
28.1577,31
7.36706,19
5.27825,4
6.27825,2
6.76137,2
47.1577,1
11.5959,2
33.5959,21
20.5959,0
116,14
17.5959,7
19.1577,4
23.5959,0
32.7614,8
106,0
29.1577,1
11.7614,15
11.2783,5
28.5959,1
9.59592,7
13.7614,1
47.1577,8
9.59592,2
6.76137,2
25.1577,11
4.36706,10
114,22
12.5959,25
15.7614,1
133,10
22.5959,2
18.1577,9
20.1577,12
19.7614,6
5.30733,2
14.5959,8
6.76137,7
21.5959,3
18.5959,29
138,1
9.59592,5
12.7614,0
16.5959,3
2.9728,8
13.2783,1
25.5959,19
44.1577,1
6.27825,3
10.5959,14
22.5959,2
7.76137,8
5.36706,3
7.27825,38
38.1577,1
8.27825,5
12.7614,2
5.27825,29
20.1577,5
3.75108,8
11.5959,2
135,11
10.5959,0
14.5959,12
23.1577,3
11.5959,4
118,10
49.1577,9
18.1577,6
6.27825,22
24.1577,8
14.7614,10
5.27825,32
10.5959,6
20.5959,10
114,2
14.7614,27
109,8
29.1577,2
30.1577,32
19.5959,7
30.1577,11
123,11
7.76137,9
11.5959,19
40.1577,22
19.5959,4
18.1577,11
49.1577,10
44.1577,11
13.2783,30
18.1577,27
101,7
104,3
16.5959,19
29.1577,3
5.27825,19
52.1577,13
6.27825,0
4.75108,2
104,18
9.76137,2
10.5959,3
6.76137,15
14.5959,21
5.36706,1
12.7614,1
12.2783,8
8.27825,12
135,20
22.1577,1
9.76137,7
40.1577,20
5.36706,23
40.1577,11
22.5959,1
5.27825,4
17.1577,0
12.7614,22
16.7614,22
22.5959,15
7.76137,7
105,2
15.7614,3
5.75108,7
47.1577,12
6.76137,12
18.1577,3
20.1577,10
8.76137,6
17.1577,1
23.1577,5
14.2783,7
13.3671,1
10.5959,11
14.5959,24
8.76137,9
17.7614,2
13.5959,6
4.36706,1
9.36706,10
102,12
134,35
15.2783,1
35.7614,25
123,14
19.5959,21
27.1577,0
101,13
130,16
115,1
131,14
8.9728,0
31.7614,0
8.76137,14
38.1577,2
15.7614,1
7.76137,1
13.5959,6
7.76137,1
23.1577,3
30.1577,23
21.5959,0
104,0
19.1577,2
105,26
21.5959,21
38.1577,6
133,19
17.7511,5
110,13
26.1577,3
4.75108,2
18.1577,31
30.1577,5
15.5959,3
24.1577,24
10.3671,1
113,0
6.27825,0
107,24
104,9
132,3
18.5959,2
133,4
20.5959,12
115,7
16.5959,10
15.5959,12
117,2
114,0
28.1577,28
22.1577,1
22.5959,4
11.7614,0
10.3671,11
129,0
11.7614,4
44.5959,4
107,19
33.1577,0
22.1577,9
30.1577,16
12.7614,21
21.1577,0
11.2783,10
18.1577,0
30.5959,20
101,9
5.36706,3
136,9
46.1577,10
5.36706,11
10.5959,33
6.27825,2
4.75108,2
10.5959,4
36.1577,2
21.7614,4
46.1577,2
113,16
15.7614,2
10.2783,10
23.7614,13
9.27825,6
32.1577,0
5.36706,12
18.5959,9
8.76137,32
129,20
15.7614,0
134,17
121,9
10.2783,0
111,25
6.27825,6
10.5959,20
34.1577,14
6.36706,1
5.36706,1
11.5959,36
137,18
33.1577,1
14.2783,3
18.5959,1
104,10
18.5959,0
11.7614,7
24.2783,16
7.76137,9
105,24
14.2783,3
5.36706,1
114,1
25.7614,22
9.27825,34
137,7
15.5959,8
7.76137,4
101,12
6.27825,5
33.1577,3
26.1577,26
105,9
26.1577,4
11.5959,8
14.5959,28
13.5959,2
24.5959,12
15.5959,20
42.1577,33
19.1577,2
109,3
23.1577,28
26.1577,1
104,12
23.1577,7
10.2783,4
126,18
122,10
21.3671,14
21.1577,15
18.1577,4
9.30733,2
11.5959,3
42.1577,1
8.76137,4
18.5959,25
30.1577,9
18.5959,21
23.1577,22
106,3
22.5959,2
7.76137,4
28.5959,0
21.5959,0
14.5959,10
13.5959,33
123,19
10.5959,1
32.5959,4
8.75108,24
115,2
10.5959,3
15.7614,6
10.2783,5
116,0
8.36706,6
36.1577,17
12.7614,8
2.30733,15
3.36706,6
16.1577,1
5.76137,0
4.27825,4
5.76137,2
5.76137,19
5.76137,1
99,0
8.59592,7
4.27825,4
5.76137,37
8.59592,23
5.76137,20
1.9728,5
5.76137,3
3.36706,23
5.76137,2
4.27825,11
3.36706,33
4.27825,3
1.9728,0
2.75108,5
16.1577,14
8.59592,3
5.76137,10
5.76137,9
4.27825,2
8.59592,1
4.27825,1
5.76137,1
3.36706,29
4.27825,3
2.30733,0
8.59592,2
8.59592,0
5.76137,20
8.59592,16
3.36706,22
16.1577,34
3.36706,15
8.59592,0
4.27825,36
2.75108,10
2.30733,2
2.75108,4
4.27825,10
16.1577,32
5.76137,2
16.1577,13
4.27825,6
5.76137,18
3.36706,6
5.76137,8
8.59592,13
5.76137,8
3.36706,25
4.27825,1
5.76137,5
16.1577,7
2.30733,7
8.59592,0
8.59592,1
5.76137,2
8.59592,16
5.76137,1
99,37
8.59592,4
5.76137,1
8.59592,27
5.76137,2
4.27825,14
4.27825,1
99,8
4.27825,9
5.76137,4
2.75108,1
3.36706,2
16.1577,6
5.76137,7
3.36706,2
5.76137,9
16.1577,1
3.36706,19
5.76137,3
3.36706,8
4.27825,8
99,20
5.76137,1
99,32
4.27825,25
5.76137,17
5.76137,10
99,5
8.59592,5
16.1577,3
5.76137,0
4.27825,4
5.76137,1
4.27825,5
2.30733,8
3.36706,2
8.59592,2
8.59592,1
4.27825,6
3.36706,4
8.59592,29
99,5
5.76137,1
5.76137,12
5.76137,14
8.59592,1
1.50291,1
16.1577,6
5.76137,11
8.59592,11
8.59592,4
8.59592,5
4.27825,5
8.59592,11
3.36706,5
4.27825,1
4.27825,3
5.76137,2
3.36706,3
4.27825,19
2.75108,29
5.76137,1
3.36706,10
3.36706,3
5.76137,0
5.76137,5
4.27825,1
8.59592,12
3.36706,2
4.27825,1
5.76137,19
3.36706,1
8.76137,9
30.5959,7
100,13
9.59592,1
124,8
11.2783,14
6.76137,13
8.75108,4
20.5959,1
6.27825,6
10.5959,5
101,9
126,16
11.7614,4
9.59592,34
18.1577,3
9.27825,12
8.75108,3
12.7614,3
45.1577,4
4.36706,4
12.5959,10
9.59592,34
100,15
3.30733,3
17.5959,1
30.5959,9
9.59592,8
14.7614,8
9.59592,29
118,10
125,3
14.5959,0
3.30733,15
7.27825,1
6.36706,36
13.7614,8
21.5959,29
137,3
54.1577,31
27.1577,0
19.5959,14
122,26
12.5959,2
8.75108,3
9.59592,5
7.76137,19
26.1577,3
13.7614,20
22.1577,19
28.5959,0
122,23
105,0
13.2783,4
48.1577,33
21.5959,6
30.1577,2
108,0
12.7614,34
18.1577,3
11.2783,5
14.3671,0
9.59592,6
127,35
11.7614,0
18.5959,14
118,9
6.36706,0
9.59592,7
35.1577,6
123,1
4.36706,0
17.7614,37
28.5959,39
18.5959,3
6.76137,11
7.27825,3
26.1577,24
30.5959,3
16.5959,6
19.1577,4
13.2783,0
54.1577,12
32.1577,14
9.59592,1
18.1577,9
16.7614,1
10.7614,12
12.7614,5
8.76137,32
24.1577,3
17.1577,9
14.5959,2
12.7614,5
11.7614,2
102,9
17.5959,2
11.2783,8
13.7614,8
5.36706,9
26.5959,6
35.1577,14
40.1577,5
5.36706,3
23.5959,9
5.27825,1
41.1577,0
12.2783,2
5.27825,15
26.5959,6
20.1577,0
2.71188,1
22.1577,14
7.27825,11
36.1577,4
129,1
6.76137,17
18.1577,11
121,13
9.27825,2
26.1577,2
20.1577,0
31.1577,2
6.76137,10
35.1577,5
12.5959,10
10.5959,11
21.1577,13
11.7614,12
4.36706,5
121,1
17.1577,28
7.27825,24
131,10
7.27825,15
34.5959,12
11.7614,0
9.36706,5
10.5959,14
46.1577,31
35.1577,27
12.5959,39
10.5959,34
120,6
10.5959,2
134,4
7.36706,28
115,0
38.1577,6
3.30733,14
10.5959,2
22.5959,4
5.36706,0
4.36706,8
17.1577,2
7.76137,13
100,14
16.7511,7
