"ID" "ageOfParent" "sexOfParent" "survivalProb" "expectedAgeAtDeath" "mutationProbGametes" "mutationProbSC" "meanMutBias" "sdMutEffectSize" "mutationProbAgeGenes"
"152_0.0024_0.0024_-0.022_0.024_0.0004" 2 "M" 0.990884 16.0472 0.0024 0.0024 -0.022 0.024 4e-04
"152_0.0024_0.0024_-0.022_0.024_0.0004" 2 "M" 0.966927 11.2821 0.0024 0.0024 -0.022 0.024 4e-04
"152_0.0024_0.0024_-0.022_0.024_0.0004" 2 "M" 0.98868 15.4597 0.0024 0.0024 -0.022 0.024 4e-04
"152_0.0024_0.0024_-0.022_0.024_0.0004" 3 "M" 0.957834 10.104 0.0024 0.0024 -0.022 0.024 4e-04
"152_0.0024_0.0024_-0.022_0.024_0.0004" 4 "M" 0.953981 9.67033 0.0024 0.0024 -0.022 0.024 4e-04
"152_0.0024_0.0024_-0.022_0.024_0.0004" 4 "M" 0.966013 11.1525 0.0024 0.0024 -0.022 0.024 4e-04
"152_0.0024_0.0024_-0.022_0.024_0.0004" 4 "M" 0.951111 9.36867 0.0024 0.0024 -0.022 0.024 4e-04
"187_0.0024_0.0024_-0.022_0.024_0.0004" 37 "F" 0.933098 7.80615 0.0024 0.0024 -0.022 0.024 4e-04
"187_0.0024_0.0024_-0.022_0.024_0.0004" 37 "F" 0.920415 6.9614 0.0024 0.0024 -0.022 0.024 4e-04
"187_0.0024_0.0024_-0.022_0.024_0.0004" 38 "F" 0.849671 4.18637 0.0024 0.0024 -0.022 0.024 4e-04
"187_0.0024_0.0024_-0.022_0.024_0.0004" 38 "F" 0.866728 4.66226 0.0024 0.0024 -0.022 0.024 4e-04
"187_0.0024_0.0024_-0.022_0.024_0.0004" 39 "F" 0.919697 6.91844 0.0024 0.0024 -0.022 0.024 4e-04
"187_0.0024_0.0024_-0.022_0.024_0.0004" 39 "F" 0.909745 6.36688 0.0024 0.0024 -0.022 0.024 4e-04
"261_0.0024_0.0024_-0.022_0.024_0.0004" 6 "F" 0.968573 11.5226 0.0024 0.0024 -0.022 0.024 4e-04
"261_0.0024_0.0024_-0.022_0.024_0.0004" 6 "F" 0.972651 12.1611 0.0024 0.0024 -0.022 0.024 4e-04
"261_0.0024_0.0024_-0.022_0.024_0.0004" 7 "F" 0.972463 12.1302 0.0024 0.0024 -0.022 0.024 4e-04
"261_0.0024_0.0024_-0.022_0.024_0.0004" 7 "F" 0.976647 12.8532 0.0024 0.0024 -0.022 0.024 4e-04
"261_0.0024_0.0024_-0.022_0.024_0.0004" 8 "F" 0.991412 16.1944 0.0024 0.0024 -0.022 0.024 4e-04
"261_0.0024_0.0024_-0.022_0.024_0.0004" 8 "F" 0.967829 11.4128 0.0024 0.0024 -0.022 0.024 4e-04
"261_0.0024_0.0024_-0.022_0.024_0.0004" 9 "F" 0.946272 8.89691 0.0024 0.0024 -0.022 0.024 4e-04
"261_0.0024_0.0024_-0.022_0.024_0.0004" 9 "F" 0.934869 7.9386 0.0024 0.0024 -0.022 0.024 4e-04
"280_0.0024_0.0024_-0.022_0.024_0.0004" 9 "F" 0.950774 9.33438 0.0024 0.0024 -0.022 0.024 4e-04
"280_0.0024_0.0024_-0.022_0.024_0.0004" 9 "F" 0.970998 11.8946 0.0024 0.0024 -0.022 0.024 4e-04
"280_0.0024_0.0024_-0.022_0.024_0.0004" 10 "F" 0.948509 9.10954 0.0024 0.0024 -0.022 0.024 4e-04
"280_0.0024_0.0024_-0.022_0.024_0.0004" 10 "F" 0.97446 12.4656 0.0024 0.0024 -0.022 0.024 4e-04
"280_0.0024_0.0024_-0.022_0.024_0.0004" 11 "F" 0.989587 15.6966 0.0024 0.0024 -0.022 0.024 4e-04
"280_0.0024_0.0024_-0.022_0.024_0.0004" 11 "F" 0.954653 9.74346 0.0024 0.0024 -0.022 0.024 4e-04
"280_0.0024_0.0024_-0.022_0.024_0.0004" 12 "F" 0.978465 13.1928 0.0024 0.0024 -0.022 0.024 4e-04
"280_0.0024_0.0024_-0.022_0.024_0.0004" 12 "F" 0.970803 11.8639 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 13 "M" 0.940144 8.35778 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.987731 15.2193 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.956121 9.9069 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.963991 10.8753 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 15 "M" 0.955552 9.84302 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 16 "M" 0.969859 11.7172 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 16 "M" 0.957243 10.0352 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 16 "M" 0.945799 8.85314 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 16 "M" 0.977212 12.9569 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 16 "M" 0.977991 13.1027 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 17 "M" 0.942316 8.542 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 17 "M" 0.955527 9.84015 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 17 "M" 0.950561 9.31278 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 17 "M" 0.966481 11.2185 0.0024 0.0024 -0.022 0.024 4e-04
"283_0.0024_0.0024_-0.022_0.024_0.0004" 17 "M" 0.97781 13.0685 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 13 "F" 0.972263 12.0976 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 13 "F" 0.938619 8.23261 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 14 "F" 0.968322 11.4854 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 14 "F" 0.967207 11.3223 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 15 "F" 0.975949 12.7271 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 15 "F" 0.953421 9.61012 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 16 "F" 0.959536 10.307 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 16 "F" 0.967947 11.4301 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 17 "F" 0.950142 9.27059 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 17 "F" 0.946232 8.89317 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 18 "F" 0.960536 10.4297 0.0024 0.0024 -0.022 0.024 4e-04
"386_0.0024_0.0024_-0.022_0.024_0.0004" 18 "F" 0.925653 7.28983 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 12 "M" 0.951363 9.39443 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 13 "M" 0.957062 10.0143 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.96821 11.4687 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.942362 8.54601 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.929025 7.51599 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.954084 9.68147 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.971959 12.0482 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 16 "M" 0.941615 8.48174 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 16 "M" 0.940072 8.35179 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 17 "M" 0.972996 12.2181 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 18 "M" 0.961215 10.5146 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 19 "M" 0.961245 10.5185 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 19 "M" 0.941455 8.46808 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 19 "M" 0.965214 11.0414 0.0024 0.0024 -0.022 0.024 4e-04
"465_0.0024_0.0024_-0.022_0.024_0.0004" 19 "M" 0.935056 7.95283 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 2 "F" 0.923222 7.13411 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 2 "F" 0.952508 9.51329 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 3 "F" 0.973145 12.2429 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 3 "F" 0.98952 15.6788 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 4 "F" 0.982943 14.1048 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 4 "F" 0.972529 12.1411 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 5 "F" 0.975051 12.5682 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 5 "F" 0.978874 13.2714 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 6 "F" 0.967827 11.4125 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 6 "F" 0.976012 12.7384 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 7 "F" 0.972802 12.186 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 7 "F" 0.966405 11.2077 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 8 "F" 0.973092 12.2341 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 8 "F" 0.962205 10.6407 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 9 "F" 0.975453 12.6389 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 9 "F" 0.974463 12.4661 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 10 "F" 0.966546 11.2277 0.0024 0.0024 -0.022 0.024 4e-04
"523_0.0024_0.0024_-0.022_0.024_0.0004" 10 "F" 0.983218 14.1647 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 9 "M" 0.976363 12.8016 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 9 "M" 0.986169 14.838 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 11 "M" 0.990213 15.8641 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 13 "M" 0.954122 9.68562 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 13 "M" 0.944744 8.75675 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.981573 13.8136 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.982444 13.9973 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 14 "M" 0.96038 10.4105 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 15 "M" 0.988052 15.2998 0.0024 0.0024 -0.022 0.024 4e-04
"550_0.0024_0.0024_-0.022_0.024_0.0004" 15 "M" 0.994 16.9533 0.0024 0.0024 -0.022 0.024 4e-04
